"PointID" "x" "y" "Cu" "Zn"
1 0 0 36.441 72.5824
2 0 100 43.7463 76.2725
3 0 200 30.0935 72.7419
4 0 300 35.5271 85.3916
5 0 400 46.287 98.101
6 0 500 44.5064 95.7388
7 0 600 40.9017 86.1434
8 0 700 48.7383 84.2309
9 0 800 35.2587 76.6454
10 0 900 27.67 75.874
11 0 1000 22.3411 75.9251
12 0 1100 8.301 61.2036
13 0 1200 31.7253 82.2896
14 0 1300 41.1929 94.8882
15 0 1400 33.8587 89.7641
16 0 1500 25.0985 78.7638
17 100 0 40.3044 77.2465
18 100 100 37.6686 75.953
19 100 200 44.2306 87.6551
20 100 300 37.6502 96.2684
21 100 400 42.7191 97.0304
22 100 500 34.8601 82.1846
23 100 600 35.414 70.7689
24 100 700 43.5918 76.4908
25 100 800 41.7534 83.6745
26 100 900 34.2762 87.2702
27 100 1000 30.646 88.6504
28 100 1100 26.3752 79.9011
29 100 1200 34.2949 92.0259
30 100 1300 33.2683 80.1507
34 200 100 45.8859 80.1062
35 200 200 39.5349 85.2886
36 200 300 41.1245 106.8519
37 200 400 45.8415 97.4572
38 200 500 32.0202 77.3421
39 200 600 35.9285 77.8627
40 200 700 43.7566 78.3131
41 200 800 46.9833 89.6851
45 200 1200 24.3686 78.2988
46 200 1300 31.3043 79.3354
47 200 1400 26.6846 75.9848
48 200 1500 30.7467 79.3883
49 300 0 44.6481 89.2823
50 300 100 41.2945 81.3187
51 300 200 43.6011 89.4628
52 300 300 37.2378 97.3993
56 300 700 40.7488 89.5635
57 300 800 41.9112 87.1216
58 300 900 43.7092 93.2643
59 300 1000 48.8176 99.0733
60 300 1100 45.9564 90.7459
61 300 1200 32.1176 75.0816
62 300 1300 20.8437 70.4858
63 300 1400 20.8246 69.9662
64 300 1500 28.3195 84.5633
65 400 0 41.7039 91.7542
66 400 100 41.8658 89.4459
67 400 200 47.5416 95.33
68 400 300 40.8151 96.7692
69 400 400 38.7596 91.1769
71 400 600 42.3279 92.0473
72 400 700 45.0071 91.237
73 400 800 48.4225 97.8729
74 400 900 45.9283 89.7522
75 400 1000 41.086 84.5325
76 400 1100 41.6943 89.123
77 400 1200 37.2295 88.5327
78 400 1300 31.0642 79.4334
79 400 1400 29.2756 81.7162
80 400 1500 21.075 80.213
81 500 0 44.2673 97.2512
82 500 100 35.9634 86.9834
83 500 200 34.6964 85.0586
84 500 300 38.575 96.9532
85 500 400 42.0527 96.4624
87 500 600 48.7215 99.065
88 500 700 44.1856 97.0123
89 500 800 42.0198 89.2994
90 500 900 44.3165 89.0597
91 500 1000 40.6866 91.5648
92 500 1100 43.1422 90.1851
93 500 1200 34.8085 89.2309
94 500 1300 32.1663 82.3354
95 500 1400 35.8207 84.0065
96 500 1500 39.9902 85.1925
97 600 0 45.7882 95.3847
99 600 200 35.1219 79.9648
100 600 300 34.0744 84.0931
101 600 400 33.8742 88.3025
102 600 500 39.3741 94.4192
103 600 600 33.9088 86.9103
104 600 700 35.5096 89.4953
105 600 800 48.5721 99.717
106 600 900 43.1033 87.4589
108 600 1100 34.2149 81.0913
109 600 1200 32.0217 81.352
110 600 1300 40.5121 89.1615
111 600 1400 46.72 88.2981
112 600 1500 43.1535 84.3427
113 700 0 37.1604 87.6475
114 700 100 33.5123 80.2227
115 700 200 32.2441 83.4774
116 700 300 27.6269 81.5831
117 700 400 37.9739 89.0423
118 700 500 40.0395 96.3168
119 700 600 36.3369 94.9993
121 700 800 43.8222 88.9863
122 700 900 47.1633 90.3718
123 700 1000 32.7889 70.3677
124 700 1100 37.9337 76.1056
125 700 1200 26.3835 73.6056
126 700 1300 39.0743 80.1308
127 700 1400 44.2882 86.9417
128 700 1500 48.5776 88.0094
129 800 0 36.8621 79.4633
130 800 100 24.4941 66.7035
131 800 200 32.3595 79.4888
132 800 300 36.6638 88.866
133 800 400 37.8087 94.5395
134 800 500 37.01 91.4964
135 800 600 33.3646 88.1315
136 800 700 35.742 86.3288
137 800 800 47.7224 94.6205
138 800 900 46.0062 94.1242
139 800 1000 44.1702 81.0667
140 800 1100 35.1092 75.3489
141 800 1200 29.9046 70.3587
142 800 1300 41.3262 82.4439
143 800 1400 44.2208 82.4638
144 800 1500 46.7703 96.4664
145 900 0 29.8112 72.7061
146 900 100 34.2795 73.734
147 900 200 35.3727 87.5234
148 900 300 44.0983 98.5159
149 900 400 39.6134 94.169
150 900 500 36.8052 87.5021
151 900 600 34.348 84.6493
152 900 700 44.3217 89.4309
153 900 800 51.6494 98.3761
154 900 900 51.7627 106.6807
155 900 1000 41.9038 87.2091
156 900 1100 42.1788 91.4651
157 900 1200 48.6947 88.1386
158 900 1300 49.6584 93.6782
159 900 1400 43.5866 86.5564
160 900 1500 39.7398 86.3142
161 1000 0 30.6326 79.3479
162 1000 100 28.4356 73.7648
163 1000 200 46.0306 101.7903
164 1000 300 41.3731 98.8345
165 1000 400 35.3115 85.8741
166 1000 500 38.108 82.5401
167 1000 600 38.1773 88.1666
168 1000 700 38.5574 87.4233
169 1000 800 43.834 97.7743
170 1000 900 46.4396 102.0104
171 1000 1000 41.7877 85.1191
172 1000 1100 40.2254 84.5659
173 1000 1200 44.89 87.5501
174 1000 1300 40.4591 87.6905
175 1000 1400 39.9339 93.3015
176 1000 1500 31.7158 89.8889
177 1100 0 41.3648 85.2291
178 1100 100 30.7441 82.6768
179 1100 200 43.3729 105.1771
180 1100 300 36.1742 100.5292
181 1100 400 38.3082 98.5647
182 1100 500 46.1067 93.2635
183 1100 600 31.0334 73.6318
184 1100 700 32.7024 85.9101
185 1100 800 40.3614 100.9935
186 1100 900 45.675 98.2574
187 1100 1000 40.3585 90.1837
188 1100 1100 36.0136 87.4516
189 1100 1200 44.2235 85.511
190 1100 1300 45.4503 90.9051
191 1100 1400 38.836 93.9495
192 1100 1500 24.6575 78.4723
193 1200 0 36.9329 84.0455
194 1200 100 33.4185 87.5582
197 1200 400 42.3271 92.0275
198 1200 500 37.7632 90.9655
199 1200 600 35.3757 77.7161
200 1200 700 31.6141 85.3306
201 1200 800 35.9244 90.8217
202 1200 900 40.627 100.0865
203 1200 1000 33.1907 85.3053
204 1200 1100 38.3487 80.0142
205 1200 1200 39.582 86.8387
206 1200 1300 42.9361 86.5561
207 1200 1400 37.4436 86.4195
208 1200 1500 22.9189 72.3229
209 1300 0 37.075 98.8769
210 1300 100 47.7198 101.8039
211 1300 200 31.5264 92.4529
213 1300 400 38.8875 82.317
214 1300 500 43.1426 86.9923
215 1300 600 42.8413 88.0146
216 1300 700 40.5598 93.3912
217 1300 800 42.799 96.0168
218 1300 900 40.588 91.9645
219 1300 1000 28.2031 77.0828
220 1300 1100 35.1223 81.6363
221 1300 1200 36.1502 83.3248
222 1300 1300 47.0987 94.8879
223 1300 1400 38.6815 90.1782
224 1300 1500 29.9094 76.0157
225 1400 0 38.2134 98.08
226 1400 100 38.0185 102.5597
227 1400 200 30.5041 91.6337
228 1400 300 38.0448 98.153
229 1400 400 39.1522 86.6515
230 1400 500 41.2581 87.3693
231 1400 600 38.2587 83.9232
232 1400 700 44.5426 90.5242
233 1400 800 46.0194 95.6322
234 1400 900 34.9614 82.2864
235 1400 1000 30.3182 81.2335
236 1400 1100 26.2423 76.0374
237 1400 1200 35.872 79.8318
238 1400 1300 43.1613 81.1068
239 1400 1400 45.0954 90.3277
240 1400 1500 37.9259 79.514
241 1500 0 36.2236 86.5193
242 1500 100 24.8765 79.8084
243 1500 200 25.1662 82.7017
244 1500 300 29.0646 85.5032
245 1500 400 34.3057 84.5599
246 1500 500 42.0014 95.0273
247 1500 600 34.7849 84.5576
248 1500 700 35.0835 81.2952
249 1500 800 36.2768 94.473
250 1500 900 32.3218 84.7084
251 1500 1000 33.8916 83.7179
252 1500 1100 28.2255 80.4459
253 1500 1200 34.5466 82.3402
254 1500 1300 34.2373 79.5745
255 1500 1400 26.2903 71.9785
256 1500 1500 33.9062 84.7716
257 810 610 32.7988 85.2198
258 830 570 36.4498 87.5051
259 850 650 29.5071 78.1873
260 1310 1210 36.1855 84.8424
261 1330 1170 29.6338 76.2505
262 1350 1250 40.3949 77.8622
263 110 710 41.9829 75.9212
264 130 670 48.6246 78.4885
265 150 750 47.0679 88.3782
266 1110 1110 36.635 85.3972
267 1130 1070 36.6919 85.5766
268 1150 1150 43.8685 88.3312
269 1310 810 42.4483 92.3664
270 1330 770 41.0001 93.6128
271 1350 850 46.9808 94.3785
272 310 10 45.2196 87.0873
273 330 -30 41.8984 84.8167
274 350 50 42.4004 84.634
